Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
42.77,0.0667,0.6582,-0.8057,-0.10,0.63,-0.53
42.87,0.0735,0.6575,-0.8037,-0.13,0.56,-0.30
42.98,0.0757,0.6565,-0.8037,-0.03,0.64,-0.52
43.08,0.0740,0.6597,-0.8054,-0.06,0.74,-0.37
43.19,0.0898,0.6514,-0.8120,-0.08,0.16,-0.44
43.29,0.0703,0.6565,-0.8047,-0.17,0.71,-0.39
43.40,0.0703,0.6560,-0.8010,-0.06,0.59,-0.49
43.50,0.0679,0.6550,-0.8054,-0.11,0.38,-0.38
43.61,0.0740,0.6580,-0.8184,-0.01,0.61,-0.62
43.72,0.0713,0.6555,-0.8035,-0.15,0.32,-0.54
43.82,0.0681,0.6582,-0.8079,-0.08,0.66,-0.50
43.93,0.0688,0.6562,-0.8020,0.05,0.38,-0.33
44.03,0.0701,0.6550,-0.7930,-0.12,0.53,-0.38
44.14,0.0730,0.6619,-0.8157,-0.22,0.73,-0.38
44.24,0.0723,0.6631,-0.8064,-0.08,0.50,-0.68
44.35,0.0669,0.6543,-0.8027,-0.25,0.47,-0.23
44.45,0.0708,0.6616,-0.8027,-0.37,0.50,-0.26
44.56,0.0676,0.6646,-0.8093,-0.03,0.59,-0.37
44.67,0.0720,0.6597,-0.8149,-0.11,0.33,-0.44
44.77,0.0774,0.6416,-0.8005,-0.35,0.42,-0.44
44.88,0.0532,0.6572,-0.7991,-0.06,1.03,-0.48
44.98,0.0742,0.6697,-0.8018,-0.29,0.45,-0.50
45.09,0.0701,0.6631,-0.8049,1.93,0.85,-0.35
45.19,0.0779,0.6597,-0.7983,-0.14,0.47,-0.34
45.30,0.0706,0.6543,-0.8047,-0.24,0.27,-0.34
45.40,0.0647,0.6548,-0.8010,-0.18,0.64,-0.52
45.51,0.0737,0.6609,-0.7925,-0.08,0.91,-0.27
45.61,0.0703,0.6707,-0.7974,-0.24,0.68,-0.56
45.72,0.0659,0.6421,-0.8281,1.92,0.40,-0.50
45.83,0.0671,0.6418,-0.8088,-0.15,0.72,-0.46
45.93,0.0754,0.6687,-0.7983,-0.14,0.80,-0.54
46.04,0.0698,0.6716,-0.8079,-0.11,0.40,-0.35
46.14,0.0737,0.6589,-0.8125,-0.16,0.63,-0.29
46.25,0.0679,0.6602,-0.8018,-0.03,0.40,-0.45
46.35,0.0686,0.6548,-0.8064,-0.20,0.25,-0.44
46.46,0.0657,0.6606,-0.8000,-0.10,0.58,-0.52
46.56,0.0718,0.6577,-0.8135,-0.25,0.60,-0.43
46.67,0.0669,0.6565,-0.8030,-0.02,0.42,-0.39
46.78,0.0674,0.6584,-0.8027,0.08,0.52,-0.46
46.88,0.0742,0.6584,-0.8037,-0.11,0.57,-0.36
46.99,0.0781,0.6570,-0.8066,-1.95,0.84,-0.47
47.09,0.0703,0.6558,-0.8071,-0.21,0.79,-0.45
47.20,0.0774,0.6519,-0.8081,-0.25,0.47,-0.46
47.31,0.0759,0.6553,-0.8040,-0.16,0.53,-0.35
47.41,0.0730,0.6614,-0.8123,-0.13,0.61,-0.50
47.52,0.0676,0.6562,-0.8115,-0.08,0.67,-0.34
47.62,0.0698,0.6580,-0.8113,-0.12,0.38,-0.40
47.73,0.0723,0.6716,-0.8096,-1.86,0.51,-0.34
47.83,0.0737,0.6609,-0.8047,-0.39,0.53,-0.39
47.94,0.0679,0.6616,-0.7996,1.93,0.86,-0.31
48.05,0.0735,0.6541,-0.8096,-0.27,0.72,-0.29
48.15,0.0688,0.6592,-0.8064,-0.06,0.79,-0.33
48.26,0.0737,0.6443,-0.8115,-0.17,0.87,-0.34
48.36,0.0720,0.6521,-0.8047,-0.05,0.40,-0.33
48.47,0.0698,0.6631,-0.8149,-0.15,0.50,-0.39
48.57,0.0725,0.6609,-0.8083,-0.12,0.76,-0.47
48.68,0.0684,0.6636,-0.8018,-0.15,0.66,-0.33
48.78,0.0789,0.6514,-0.8145,-1.92,0.52,-0.47
48.89,0.0659,0.6560,-0.7998,-0.15,0.50,-0.57
48.99,0.0730,0.6604,-0.8069,-0.27,0.65,-0.47
49.10,0.0703,0.6714,-0.8037,-0.21,0.56,-0.49
49.20,0.0720,0.6550,-0.8120,-0.13,0.61,-0.31
49.31,0.0706,0.6562,-0.8113,-0.29,0.57,-0.49
49.42,0.0696,0.6567,-0.8081,-0.13,0.67,-0.51
49.52,0.0688,0.6567,-0.8098,0.02,0.38,-0.35
49.63,0.0662,0.6621,-0.8091,-0.13,0.44,-0.50
49.73,0.0676,0.6650,-0.7930,-0.18,0.55,-0.50
49.84,0.0706,0.6597,-0.8010,-0.10,0.69,-0.27
49.94,0.0686,0.6604,-0.8071,-0.29,0.55,-0.34
50.05,0.0742,0.6619,-0.7998,-0.11,0.73,-0.21
50.15,0.0725,0.6545,-0.8035,-0.08,0.72,-0.44
50.26,0.0654,0.6550,-0.8057,-0.16,0.32,-0.43
50.36,0.0698,0.6536,-0.8018,-0.27,0.48,-0.16
50.47,0.0696,0.6650,-0.8091,-0.11,0.73,-0.45
50.57,0.0713,0.6602,-0.8064,-0.15,0.74,-0.43
50.68,0.0708,0.6587,-0.8120,-0.17,0.53,-0.50
50.79,0.0706,0.6584,-0.8103,-0.17,0.61,-0.50
50.89,0.0681,0.6597,-0.8049,-0.26,0.60,-0.50
51.00,0.0720,0.6584,-0.8079,-0.16,0.34,-0.19
51.10,0.0696,0.6553,-0.7993,-0.09,0.63,-0.41
51.21,0.0757,0.6602,-0.8223,-0.11,0.64,-0.33
51.31,0.0747,0.6567,-0.8052,-0.05,0.80,-0.41
51.42,0.0725,0.6602,-0.8020,-0.05,0.44,-0.41
51.52,0.0703,0.6548,-0.8108,-0.14,0.52,-0.44
51.63,0.0640,0.6616,-0.8115,-0.15,0.90,-0.47
51.73,0.0732,0.6531,-0.8108,-0.28,0.40,-0.50
51.84,0.0750,0.6433,-0.8037,-0.31,0.60,-0.28
51.94,0.0720,0.6587,-0.8022,-0.25,0.89,-0.27
52.05,0.0701,0.6592,-0.8081,-0.25,0.58,-0.33
52.16,0.0701,0.6570,-0.7981,-0.18,0.38,-0.37
52.26,0.0688,0.6609,-0.8047,-0.01,0.72,-0.41
52.37,0.0723,0.6533,-0.8118,-0.15,0.65,-0.29
52.47,0.0684,0.6582,-0.8088,-0.13,0.46,-0.24
52.58,0.0671,0.6602,-0.8076,-0.29,0.44,-0.59
52.69,0.0750,0.6509,-0.8069,-0.27,0.34,-0.57
52.79,0.0713,0.6526,-0.8003,-0.23,0.63,-0.47
52.90,0.0740,0.6545,-0.8174,-0.11,0.76,-0.32
53.00,0.0710,0.6558,-0.8066,-0.29,0.69,-0.53
53.11,0.0723,0.6606,-0.8005,-0.08,0.66,-0.47
53.21,0.0698,0.6560,-0.8035,-0.11,0.54,-0.28
53.32,0.0723,0.6541,-0.8105,1.95,0.54,-0.32
53.42,0.0715,0.6658,-0.8091,-0.08,0.31,-0.36
53.53,0.0691,0.6558,-0.7920,-0.19,0.57,-0.21
53.64,0.0696,0.6553,-0.8076,-0.37,0.42,-0.43
53.74,0.0757,0.6582,-0.8025,-0.16,0.51,-0.58
53.85,0.0708,0.6606,-0.8000,-0.12,0.84,-0.44
53.95,0.0730,0.6550,-0.8135,-0.21,0.94,-0.50
54.06,0.0750,0.6575,-0.8074,-0.14,0.40,-0.45
54.16,0.0737,0.6531,-0.8076,-0.31,0.38,-0.45
54.27,0.0696,0.6594,-0.8083,-0.21,0.56,-0.44
54.37,0.0740,0.6589,-0.8083,-0.26,0.38,-0.56
54.48,0.0728,0.6592,-0.7998,-0.04,0.52,-0.17
54.59,0.0725,0.6604,-0.8108,-0.21,0.82,-0.56
54.69,0.0742,0.6531,-0.7986,-0.10,0.65,-0.49
54.80,0.0720,0.6555,-0.8093,-0.15,0.21,-0.36
54.90,0.0691,0.6572,-0.8113,-0.27,0.46,-0.28
55.01,0.0718,0.6677,-0.8083,-0.27,0.62,-0.47
55.11,0.0708,0.6587,-0.8059,-0.18,0.55,-0.52
55.22,0.0713,0.6699,-0.8093,-0.05,0.66,-0.31
55.32,0.0752,0.6562,-0.8149,-0.11,0.65,-0.33
55.43,0.0752,0.6711,-0.8096,-0.31,0.84,-0.44
55.53,0.0671,0.6711,-0.8035,-0.06,0.64,-0.48
55.64,0.0688,0.6597,-0.8076,-0.01,0.57,-0.35
55.75,0.0742,0.6609,-0.8083,-0.11,0.44,-0.28
55.85,0.0708,0.6565,-0.8115,-0.09,0.43,-0.53
55.96,0.0696,0.6614,-0.7917,-0.11,0.38,-0.33
56.06,0.0732,0.6589,-0.8118,-0.21,0.54,-0.45
56.17,0.0691,0.6582,-0.8010,-0.20,0.40,-0.56
56.27,0.0667,0.6565,-0.8015,-0.17,0.70,-0.18
56.38,0.0657,0.6580,-0.8010,-0.17,0.52,-0.42
56.48,0.0718,0.6545,-0.8030,-0.24,0.47,-0.44
56.59,0.0752,0.6555,-0.8120,-0.30,0.48,-0.50
56.70,0.0688,0.6531,-0.8049,-0.12,0.56,-0.35
56.80,0.0730,0.6702,-0.8262,-0.21,0.28,-0.41
56.91,0.0688,0.6643,-0.8081,-0.12,0.39,-0.37
57.01,0.0745,0.6597,-0.8000,-0.25,1.11,-0.47
57.12,0.0713,0.6570,-0.8115,-0.05,0.81,-0.48
57.22,0.0779,0.6509,-0.8083,-0.17,0.51,-0.50
57.33,0.0708,0.6562,-0.8076,-0.17,0.37,-0.42
57.43,0.0767,0.6562,-0.8098,-0.27,0.74,-0.44
57.54,0.0757,0.6575,-0.8269,-0.14,0.37,-0.48
57.64,0.0686,0.6465,-0.8020,-0.12,0.66,-0.46
57.75,0.0691,0.6611,-0.7964,-0.29,0.97,-0.36
57.85,0.0752,0.6636,-0.8113,-0.25,0.79,-0.23
57.96,0.0664,0.6609,-0.8062,-0.17,0.51,-0.54
58.07,0.0664,0.6555,-0.8118,-0.34,0.79,-0.44
58.17,0.0715,0.6606,-0.8059,-0.21,0.81,-0.51
58.28,0.0740,0.6714,-0.8101,-0.12,0.69,-0.34
58.38,0.0669,0.6589,-0.8135,0.08,0.38,-0.41
58.49,0.0662,0.6570,-0.8054,-0.18,0.88,-0.50
58.59,0.0767,0.6582,-0.8093,-0.22,0.66,-0.42
58.70,0.0730,0.6592,-0.8235,-0.11,0.40,-0.34
58.80,0.0898,0.6506,-0.8262,-0.20,0.36,-0.28
58.91,0.0701,0.6692,-0.8118,-0.21,0.67,-0.47
59.01,0.0664,0.6562,-0.7957,-0.13,0.86,-0.30
59.12,0.0710,0.6631,-0.8093,-0.21,0.74,-0.29
59.22,0.0701,0.6597,-0.8096,-0.05,0.70,-0.36
59.33,0.0720,0.6592,-0.8127,-0.29,0.52,-0.46
59.44,0.0701,0.6560,-0.7991,-0.27,0.73,-0.42
59.54,0.0728,0.6597,-0.8044,-0.18,0.48,-0.35
59.65,0.0740,0.6416,-0.8206,-0.15,0.46,-0.50
59.75,0.0688,0.6409,-0.8113,-0.12,0.35,-0.47
59.86,0.0674,0.6665,-0.8057,0.07,0.66,-0.38
59.96,0.0710,0.6592,-0.8127,-0.08,0.74,-0.56
60.07,0.0710,0.6572,-0.8059,-0.40,0.47,-0.39
60.17,0.0735,0.6628,-0.7881,-0.18,0.68,-0.32
60.28,0.0740,0.6550,-0.8069,-0.07,0.60,-0.52
60.38,0.0740,0.6562,-0.8032,-0.07,0.45,-0.36
60.49,0.0684,0.6604,-0.8071,-0.08,0.29,-0.37
60.59,0.0742,0.6716,-0.7998,-0.37,0.53,-0.61
60.70,0.0688,0.6609,-0.8032,-0.18,0.60,-0.36
60.81,0.0872,0.6570,-0.8091,-0.26,0.25,-0.44
60.91,0.0645,0.6562,-0.8120,-0.25,0.59,-0.37
61.02,0.0728,0.6572,-0.8040,-0.31,0.71,-0.53
61.12,0.0723,0.6558,-0.8088,-0.15,0.55,-0.53
61.23,0.0715,0.6553,-0.7825,-0.11,0.66,-0.46
61.33,0.0718,0.6638,-0.8064,-0.32,0.91,-0.47
61.44,0.0703,0.6592,-0.8044,-0.13,0.45,-0.31
61.54,0.0664,0.6506,-0.8074,-0.13,0.48,-0.27
61.65,0.0771,0.6685,-0.8064,-0.31,0.44,-0.46
61.75,0.0720,0.6704,-0.8010,-0.04,0.84,-0.36
61.86,0.0652,0.6414,-0.8176,-0.30,0.41,-0.44
61.97,0.0696,0.6526,-0.8079,-0.21,0.40,-0.43
62.07,0.0698,0.6541,-0.8083,-0.08,0.62,-0.56
62.18,0.0769,0.6526,-0.8118,-0.30,0.84,-0.34
62.28,0.0754,0.6697,-0.8003,-0.06,0.59,-0.54
62.39,0.0740,0.6689,-0.8057,-0.24,0.37,-0.33
62.49,0.0667,0.6558,-0.8064,-0.25,0.41,-0.21
62.60,0.0747,0.6577,-0.8098,-0.08,0.69,-0.36
62.70,0.0728,0.6604,-0.8018,-0.21,0.47,-0.52
62.81,0.0754,0.6572,-0.8154,-0.11,0.51,-0.41
62.92,0.0720,0.6597,-0.8066,-0.21,0.52,-0.55
63.02,0.0720,0.6519,-0.8127,-0.19,0.50,-0.16
63.13,0.0642,0.6548,-0.8035,-0.26,0.45,-0.34
63.23,0.0710,0.6565,-0.8091,-0.15,0.61,-0.38
63.34,0.0713,0.6619,-0.8113,-0.05,0.85,-0.38
