Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.96,0.0728,0.6494,-0.8042,-0.32,0.73,-0.34
10.06,0.0715,0.6624,-0.8052,-0.47,0.31,-0.43
10.17,0.0701,0.6567,-0.8132,1.95,0.52,-0.47
10.27,0.0701,0.6555,-0.8137,-0.27,0.54,-0.37
10.38,0.0654,0.6572,-0.8115,-0.46,0.95,-0.34
10.48,0.0718,0.6567,-0.7974,-0.24,0.47,-0.34
10.59,0.0701,0.6465,-0.8032,-0.04,0.50,-0.24
10.69,0.0701,0.6580,-0.8088,-0.21,0.63,-0.53
10.80,0.0754,0.6548,-0.8066,-0.16,0.37,-0.53
10.90,0.0715,0.6599,-0.8003,-0.27,0.62,-0.34
11.01,0.0686,0.6580,-0.8083,-0.08,0.76,-0.39
11.12,0.0696,0.6548,-0.8093,-0.20,0.96,-0.44
11.22,0.0723,0.6538,-0.8228,-0.27,0.36,-0.66
11.33,0.0623,0.6531,-0.7993,-0.07,0.28,-0.50
11.43,0.0647,0.6565,-0.7961,-0.36,0.86,-0.37
11.54,0.0757,0.6594,-0.7986,-0.03,0.71,-0.49
11.64,0.0691,0.6711,-0.8069,-0.09,0.25,-0.34
11.75,0.0679,0.6611,-0.7979,-0.22,0.54,-0.36
11.85,0.0718,0.6584,-0.8010,-0.32,0.49,-0.37
11.96,0.0723,0.6611,-0.8108,-0.21,0.48,-0.43
12.07,0.0686,0.6584,-0.7864,-0.09,0.84,-0.24
12.17,0.0718,0.6714,-0.8032,-0.14,0.74,-0.44
12.28,0.0706,0.6562,-0.8013,-0.31,0.31,-0.44
12.38,0.0662,0.6599,-0.8010,-0.02,0.40,-0.42
12.49,0.0764,0.6414,-0.8030,-0.15,0.91,-0.28
12.59,0.0681,0.6565,-0.8132,-0.12,0.50,-0.53
12.70,0.0732,0.6428,-0.8066,-0.21,0.39,-0.24
12.80,0.0664,0.6609,-0.7939,0.11,0.76,-0.42
12.91,0.0742,0.6628,-0.7998,-0.06,0.85,-0.43
13.01,0.0828,0.6580,-0.8083,-0.28,0.66,-0.29
13.12,0.0703,0.6594,-0.7974,-0.15,0.69,-0.48
13.23,0.0698,0.6584,-0.8013,-0.15,0.95,-0.42
13.33,0.0693,0.6562,-0.8123,-0.19,0.18,-0.49
13.44,0.0703,0.6575,-0.8044,-0.21,0.16,-0.36
13.54,0.0657,0.6567,-0.7961,-0.11,0.63,-0.39
13.65,0.0706,0.6587,-0.8049,-0.31,0.91,-0.41
